id,games_id,player_id,points,def_rebounds,off_rebounds,steals,blocks,assists,fg3a,fg3m,fgm,fga,fta,ftm,turnovers,mins,fouls,created_at,updated_at,plus_minus,team_id
1,1,217,5,4,1,1,0,4,7,1,2,9,0,0,0,29,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,6
2,1,227,7,3,0,1,0,0,3,1,3,5,0,0,0,20,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,1,6
3,1,219,24,3,5,0,3,1,6,2,10,19,3,2,2,31,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,6
4,1,218,30,7,0,1,2,5,9,3,9,18,11,9,0,9,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,6
5,1,306,19,3,1,0,0,10,8,3,6,16,7,4,0,38,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-12,6
6,1,226,8,4,2,0,0,1,6,2,3,8,0,0,1,25,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-18,6
7,1,354,0,2,1,1,1,0,1,0,0,1,0,0,0,24,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-15,6
8,1,213,3,2,0,0,0,0,4,1,1,6,0,0,1,13,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-8,6
9,1,364,2,3,0,0,0,2,1,0,1,4,0,0,2,20,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,0,6
10,1,221,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,6
11,1,48,20,2,1,0,0,2,9,2,6,16,7,6,1,27,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-3,2
12,1,41,15,3,1,0,0,0,10,5,5,10,0,0,1,24,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,11,2
13,1,44,4,11,0,0,0,1,0,0,2,7,0,0,0,35,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,13,2
14,1,37,23,6,3,0,0,8,3,1,7,17,9,8,4,13,5,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,17,2
15,1,51,6,6,1,0,0,5,3,0,2,9,2,2,0,35,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-6,2
16,1,43,18,2,1,1,0,7,6,2,7,12,2,2,2,34,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,18,2
17,1,45,16,8,2,1,0,0,6,4,6,8,0,0,0,25,1,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,10,2
18,1,38,7,0,1,0,0,1,1,1,2,4,2,2,2,11,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,2
19,1,39,0,1,0,0,0,1,0,0,0,1,0,0,0,7,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,2
20,2,326,5,2,1,2,0,4,5,0,1,10,4,3,1,29,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,27,14
21,2,317,13,5,2,0,1,2,8,3,5,11,0,0,1,36,0,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,14
22,2,315,6,6,2,0,2,0,0,0,3,4,0,0,0,19,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,3,14
23,2,325,25,4,0,3,1,5,6,3,8,16,7,6,1,14,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,5,14
24,2,316,35,8,0,2,0,4,16,5,11,25,10,8,6,38,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,14,14
25,2,375,12,2,0,1,0,1,7,3,4,8,1,1,2,26,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,0,14
26,2,318,5,1,3,1,0,0,0,0,0,3,6,5,1,16,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,14
27,2,323,6,1,3,0,0,3,0,0,2,2,2,2,1,12,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,8,14
28,2,321,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-1,14
29,2,330,3,1,1,0,1,1,2,1,1,2,0,0,0,10,2,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-4,14
30,2,59,8,5,1,2,0,2,1,0,4,8,0,0,1,22,3,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-5,20
31,2,53,13,5,3,1,0,1,4,1,5,11,2,2,2,37,4,2026-05-01 22:52:57.817186,2026-05-01 22:52:57.817186,-9,20
